Pole ID,Pole Latitude,Pole Longitude,Pole Type
CHIBOUGAMAU MERRILL PHA842, 49.9140467,-74.3784679,Generic wooden pole
CHIBOUGAMAU CAMPBELL PHA842, 49.9140467,-74.3784679,Generic wooden pole
CHIBOUGAMAU DES FORCES ARMÉES PHD126, 49.9153783,-74.3797537,Generic wooden pole
CHIBOUGAMAU LEBLANC PHA126, 49.9223038,-74.3574040,Generic wooden pole
CHIBOUGAMAU MC LEAN PHA126, 49.9223038,-74.3574040,Generic wooden pole
CHIBOUGAMAU LAFRAMBOISE PHA436, 49.9242110,-74.3622256,Generic wooden pole
CHIBOUGAMAU DAVID PHA436, 49.9242110,-74.3622256,Generic wooden pole
CHIBOUGAMAU PERREAULT PHD862, 49.9148366,-74.3857332,Generic wooden pole
CHIBOUGAMAU DE BILLY PHD862, 49.9148366,-74.3857332,Generic wooden pole
CHIBOUGAMAU LAROSE PHA2079, 49.9060888,-74.3937574,Generic wooden pole
CHIBOUGAMAU CHRISTOPHE COLOMB PHA333, 49.9126855,-74.3923498,Generic wooden pole
CHIBOUGAMAU BIDGOOD PHA346, 49.9125731,-74.3936703,Generic wooden pole
CHIBOUGAMAU LAROSE PHA346, 49.9125731,-74.3936703,Generic wooden pole
CHIBOUGAMAU CHRISTOPHE COLOMB PHA346, 49.9125731,-74.3936703,Generic wooden pole
CHIBOUGAMAU CHRISTOPHE COLOMB PHA314, 49.9125762,-74.3911371,Generic wooden pole
CHIBOUGAMAU BEAUDOIN PHA148+10, 49.9145480,-74.3976193,Generic wooden pole
CHIBOUGAMAU CARON PHA142, 49.9184497,-74.3583978,Generic wooden pole
CHIBOUGAMAU JOURDAIN PHA142, 49.9184497,-74.3583978,Generic wooden pole
CHIBOUGAMAU PERREAULT PHA110, 49.9167160,-74.3622625,Generic wooden pole
CHIBOUGAMAU 4E PHA110, 49.9167160,-74.3622625,Generic wooden pole
CHIBOUGAMAU WILSON PHA110, 49.9167160,-74.3622625,Generic wooden pole
CHIBOUGAMAU 5E PHO156, 49.9151803,-74.3660927,Generic wooden pole
